,Review,Analysis
16,movie feature lesser know marvel superhero shangchi who former assassin china hide usa go back china assassin come also sister turn father real mandarin sadly doesnt get meet iron man impersonator iron man play ben kingsley lot fun nice throwback older marvel film good way satisfy fan like there two people gender love interest get absolutely amaze fight scene seem right classic chinese martial art movie complaint bite long still amaze gorgeous design creature truly unique film mostly allasian cast superhero movie recall interview actor say lot chinese people call bruce lee make documentary problem apu even idiotic,Positive
17,real concept character story didnt really know expect shangchi legend ten ring pleasantly surprise marvel action film average feature impressive visuals engage action scene entertain character miss piece story may save later overall enjoy introduction new mcu superhero,Positive
18,daniel destin cretton create tranquil really well film marvel story drive fun time simu liu surprise character best along awkwafina always delightful really appreciate direction everything especially effect action cinematography silliness good might odd understandable one best marvel film,Positive
19,shangchi legend ten ring action fantasy movie watch new era marvel studio rise shangchi master kung fu face past involve ten ring organization crate future accordingly admit doubt movie prove wrong since amaze movie beautiful interest plot keep tense whole duration consist plenty action nice cgis one time marvel succeed create nice atmosphere connect previous movie one many easter egg expect near future interpretation simu liu play shaun shangchi simply outstanding make difference interpretation mention tony chiuwai leungs play xu wenwu michelle yeohs play ying nan menger zhangs play xialing awkwafinas play katy comic relief role ben kingsley trevor slattery brilliant idea also give something different movie finally say shangchi legend ten ring amaze movie strongly recommend everyone watch especially fan marvel,Positive
20,star shangchi legend ten ring awesome excite mcu film bring stun world asian culture say enjoy previous mcu film black widow shang chi introduce new mcu character play simu liu awkwafina also fun addition chase organization call ten ring lead father tony leung shang chi learn ability ten ring father try use power personal reason great epic plot shang chi katy awkwafina enter hide world ta lao magical mythical creature like wow stun moment first see wakanda black panther film give emotional story build villain relatable cast ensemble great simu liu great character along awkwafina friend menger zhang michelle yeoh benedict wong florian munteanu tong leung great set design visual effect stun great colorful moment music score good well action sequence great excite every set piece awesome martial art choreography well shoot cinematography director great job capture action fight sequence even epic climax dragon battle two mid post credit scene set film fun nod mcu say shang chi great excite addition find film fast move action pack great family conflict story emotionally drive,Positive
21,show sign slow hot heel black widow raft wellreceived disney series arrive far front hotly anticipate eternals marvel continue put work put many wheelhouse shame marital art infuse shangchi legend ten ring yet another entry brand increasingly load catalogue quality blockbuster release hard pinpoint exactly marvel keep maintain momentum start year ago 2008s iron man absolutely correct many say lot origin story event picture follow set formula b ability attract best actor work industry today handpicking raft excite hollywood filmmaker around marvel strike gold incredibly fun inventive shangchi quite possibly visually sumptuous marvel film yet sometimes feel marvel meet ang leeyimou zhang mind marvel film feature best choregraphed action scene yet spectacle heavy brand shangchi big screen blast freshly direct upcoming destin daniel cretton get reward great debut short term sadly undervalue glass castle come bigbudgeted ride infuse film great energy charm enhance work lead simu liu career launch turn likable hero shaunshangchi awkwafina usual fun schtick shauns bestie katy tony leung unfortunate villain piece xu wenwu cretton turn perfect choice start cinematic journey fist swing shangchi help instill film nice difference weve come expect comic book blockbuster modern era notably film excite use hand hand combat deliver spectacularly two stand sequence board move bus better alongside high rise build macau set piece easily noteworthy marvel film yet also benefit film asian infuse eccentricity fun relationship shangchi katy never bother add extra baggage add weight believable fun friendship major drawback shangchis many win overdraw finale major problem many acknowledge previously come marvel film cretton team cant quite stick land shangchi little long tooth good slightly overblown feature incredible imagery technical wizardry film riproaring start strong middle section give way something lesser final say another huge win marvel help director destin daniel cretton talented cast create instantly likable cinematic universe provide comic king one unique excite playground yet chickenpigs,Positive
22,shangchi legend ten ring brief review yet another superb standalone superhero flick mceus kitty mceus new phase never look promise product deliver better expect spider man flick right endgame change many perception marvel future even though couple recent series like wanda vision loki couldnt emerge clear winner set solid base upcoming new story shangchi new start mean come new phase mainly standalone film new superhero like use traditional combat method along ancient superpower captain america black panther begin standalone film promise much thankfully fulfil shangchi may promise much like steve rogers wakanda story point end surely give u hint new assemble version superheroes multiverse shangchi master unarm weaponrybased kung fu force confront past draw ten ring organization film major portion cover family value hence may look predictable bore yes scene outdated dramatic watch superhero film make 90 let forget weak point shang chi excel visual spectacle screenplay could better second half big war suppose take place actually look tiny one except two humongous dragon might remind hobbit performance simu li awkwafina menger zhang fala chen florian munteanu fine accord le potential available role actually humour tone character great look normal people fight even though film ancient refrences character dont actually go deep become expressive director destin daniel cretton seem slightly track begin try humanise character typically teenage humor film go ahead recover childish entanglement super explosive climax surely make mistake rather make u forgive overall shang chi another superb entertainer marvel fanboys even neutral gonna enjoy rat samthebestest,Positive
23,action great except cacophonous dragon fight act decent visuals good story predictablethe whole fine press matter address yet watch mcu movie felt like get enough wong wong always wong,Positive
24,first time couple year since 2019s captain marvel mcu introduce u brand new hero simu liu rather impressively first ask role twitter bring u shangchi film perhaps issue end ultimately fun funny ride type marvel perfect last year talented somewhat aimless shaun simu liu live san francisco work valet friend katy awkwafina he attack bus he force back world father ruthless terrorist xu wenwu tony chiuwai leung first visit sister return ten ring compound shangchi decide use skill defend late mother sacred homeland invasion father control ten mystical arm ring weapon grant owner immortality unearthly power black widow consider wobble mcu despite fact think perfectly fine film important come back something undeniably excellent shangchi perfect balance humour action marvel establish last year action tweak slightly closely resemble type asian lead action film weve see previously jackie chan style bus fight crouch tiger hide dragonesque flashback fight shang chi parent there lovely link wider mcu include return benedict wongs wong trevor slattery ben kingsleys iron man character whose masquerade role mandarin one mcus divisive moment perfect end perhaps little rush lack moment two redemption earn xu wenwu peak future character ring organisation interest addition plus first real step might route next big bad excellent stuff,Positive
25,shangchi legend ten ring star simu liu lead role alongside heavy name tony leung michelle yeoh latest installment marvel cinematic universe lius shangchi must come son legendary mandarin leung owner ten ring like film style director destin daniel cretton mix chinese wuxia setting aesthetic hong kong wire kung fu inspire action set piece still keep feel like marvel film there surprise amount callback nod larger marvel universe please dedicate fan film still able stand foot introduce u hero kudos also whole film action scene little shaky cam jump cut especially hand hand scene exactly id dare say film best action set piece mcu one thrill visually spectacular end battle well come think furthermore act solid especially liu leung awkwafina play shangchis american friend menger zhang xialing shangchis younger sister perhaps real gripe film could use either bite edge alternatively lot le seem flipflop relatable aggravate best marvel movie mean thats really high bar clear simply say base im optimistic mcus continue future,Positive
26,better proceed marvel movie black window exceed expectation marvel movie shangchi feel like marvel movie experience start get back normal theme ride martian scorsese believe cant disagree note thats want comparison shangchi lower level character fan marvel comic get reference marvel cinematic universe movie direct comic book reference marvel cinematic universe reference amaze enough get fact obvious comic book one go head mean movie connection movie great fanfare make love really cool cameo happen actually move story along like mandarin feel copy paste lot thing story shangchi make complete movie lower level character little know character fit netflixs show year back change enough justify blockbuster succeed make shangchis background fuller relationship father sister beautiful complex importantly never bore course awkafina comedy relief best friend shangchi strategic gold story background full really character drive movie without amaze performance group actor know stuff story would fall short note love fact michelle yeoh movie give lot shes do way better le effective film likely get huge paycheck disney wave hand around special effect good flick impress use make final conflict convince dude kims convenience master kung fu good movie live high expectation give lot cool thing really give anything see movie better anything spend rest day pretend know kung fu,Positive
27,,Neutral
28,elude difficult past young man china content play safe san francisco past several year even though lack true sense self drastic circumstance draw back conspicuous origin choice face demon head continue expand cultural horizon mcus first asiancentric movie unique choreography dazzle visual scheme splendid handtohand combat course expect tease go forward elaborate action set piece lack need tension much exposition backstory isnt engage third act many emotional aspect narrative arent rich compel could humor strain efficiently cast provide enough distinctive entry marvel world Â½,Positive
29,,Neutral
30,,Neutral
31,seem one marvel latest marvel studio offer movie technically sound visual effect stunt work sound cinematography name find mostly rehash thing ive see maybe im get tire superhero movie,Positive
32,shangchi legend ten ring movie wife recently watch theatre storyline movie follow young man best friend work park attendant one day attack super villain dig young man past discover father behind attack purpose hopefully brine family back together movie direct destin daniel cretton mercy star simu liu blood water tony chiuwai leung infernal affair ben kingsley iron man michelle yeoh crouch tiger hide dragon awkwafina crazy rich asian storyline movie way better crazy depth around character really understand behind every circumstance perspective act outstanding character perfectly portray special effect awesome term action scene backdrop dragon may bite overdo choreography also excellent see yeoh really make smile movie way better worthwhile addition marvel universe id strongly recommend id score solid,Positive
33,bring martial art franchise well breath fresh air marvel showcasing series excellent action sequence intelligent mind hide origin story fantasy scifi feature shangchi legend ten ring one best mcu film protip point live seek gem go solid uhd hdr bluray 3d impressive albeit minor crosstalk forgivable intricate set piece leave right eye navigate via post conversion 3d well do visuals absolutely stun comedic relief always point fight sequence sleek yet powerful story arch well pace unfold gradually one get emotionally involve film character act superb front film talented ensemble direct pace spot shangchi legend ten ring easily top origin film franchise give u one favorite entry whole youll leave theater satisfy,Positive
34,next instalment mcu shangchi legend ten ring come manage see day finally find time review review premise film see young martial artist force face past criminal father come hunt main character relative unknown simu liu play shangchi really good role really deliver strong performance come film really like care character shangchi focus family dynamic really well do liu great job sell show pain life bring great hero life also fantastic action scene huge part film believe hero capability really support character awkwafina play best friend katy feel like character really go split opinion hate love pretty much hit end spectrum think really annoy first act film hurt enjoyment role slightly lessen become much likeable character arc become clear tony leung play first role american film play wenwu one best antagonist current mcu love character performance isnt generic bad guy time really understand motivation saw emotion performance really strong menger zhang play xialing like character think really complement shangchi really well clearly issue film play well make female sidekick give personality story story strongest focus family issue character particular shangchi wenwu father son dynamic great actor deliver really well role make clash feel even important genuinely care film issue film kind stray away try focus much plenty exposition scene fit much distract main thing make film great final act put focus wrong place hard explain without spoiler think know mean watch film script script okay drama really well do make care character emotional predicament put adventure actually think film hold back little bite fact mcu mean humour come expect universe do poorly never really laugh disappointment style film look fantastic cgi beautiful think excellent job build world martial art different element mcu fight scene live hype best see marvel cinematic universe flow well hard hit easily best element film overall overall shangchi legend ten ring great film another solid addition marvel cinematic universe isnt top tier marvel great job introduce new hero shangchi,Positive
35,car valet liu friend attack warrior work father year old owner ring give phenomenal power sister eventually capture father reveal strange intention fit wonderful action pack fantasy adventure brilliantly buy life great cast great action sequence include staggeringly beautiful fantasy scene extraordinary almost child like fantasy film successfully bridge chase scene across modern day san francisco battle dragon whilst maintain goodly degree drama snd humour huge fun,Positive
36,shangchi legend ten ring yet another movie inspire marvel universe constantly inspire cinematic world decade movie follow usual stereotype manage stand stun special effect location movie revolve around shaun chinese immigrant live unite state america work valet quirky friend soulmate katy one day get attack group assassin bus manage survive shaun immediately understand attack must relate influential estrange father along katy decide team tough estrange sister xialing find whats go film convince multiple level first act performance quite quirky convince especially lady steal show awkwafina deliver good curious dynamic funny woman anyone would like friend zhang menger side represent much darker character shape dramatic event past much difficult approach tough relentless independent personality expensive special effect certainly deliver good well scene fantasy world ancient china contemporary san francisco equally stun watch fantastic creature dragon look impressive big screen story might predictable nevertheless entertain start finish thank steady pace inspire execution truly care fat different character watch film however film isnt without occasional flaw first lead actor simu liu simply doesnt charisma actress actor involve cast bold choice didnt fully pay opinion next movie desperately try connect character marvel universe appearance trevor slattery play ben kingsley completely random seem pretext offer misplace comic relief midcredit scene start amuse fashion suddenly involve bruce banner carol danvers seem like weak attempt develop hype potential sequel go yet another scene credit evoke question rather conclude film appropriately end day shangchi legend ten ring entertain fantasy action film marvel universe appeal faithful occasional fan alike one better film franchise perhaps marvel focus quality quantity instead become monstrous capitalistic machine scarier gigantic dragon show film,Positive
37,shangchi legend ten ring origin story shang chi father xu wenwu find ten ring power year ago trough history conqueror robber baron find ta lo mystical village beat guardian ying li fall love two child shang li sister xiang tragedy strike shang chi raise assassin sister train secret story xu want child join strange quest thing dont go smoothly modern style gin battle involve mystical weapon abound well choreograph martial art sequnces one great fight aboard runaway san francisco bus hill also cthuluesque devourer soul fly minion battle chinese fly dragon he good guy there also faceless wing wombat mythological beast great adventure direct cowritten destin daniel cretton,Positive
38,current mcu effort truly slight one swing fence black panther inclusive audience present african superhero candidate asian persuasion hop repeat fill backstory ring first introduce way back first iron man star tony leung wield year mean gain power leung want conquer revere village remote forest meet match love quell desire dominate father pair offspring boy girl ice cake year later find scion play simu liu live state work valet attendant whis best friend play awkwafina bus ride men accost lung jade pendant fight prowess present fear sister similar strait cryptic postcard receive make think go back bosom leungs fortress reveal long dead mother may still alive hold captive resident shangrila want subjugate year set massive battle leungs force benevolent group villager know voice leungs wife actually captive dragon trickster hop unleash order fee soul nearby populace far good right wrong usual craft polish disney output come short lackluster lead check hackneyed story wvague intimation asian legend forth check realize comic book character create couple white guy third act replete wmotion color entice viewer think something important go truth isnt check didnt disney fail realize third asian inflect release year live action mulan remake raya last dragon animate feature also feature awkwafinas vocal talent storyline would begin cross pollinate dilute final result would look like much hodgepodge hate dissent opinion wouldve rather see big screen treatment iron fist apology also star benedict wong reprise wong character yuen wah kung fu hustle archery elder michelle yeoh lius aunt zach cherry second incarnation mcu play hot dog vendor dare spiderman flip homecoming play bus passenger,Positive
39,charm incredibly fun shangchi may best marvel offer one better film time main problem film lie film storyline honest really good incredibly place edit wise much feel like two movie could make love get depth look character flaw regret tragedy live edit make feel rather place time take away impact film could heart say film still manage enjoyable throughout action scene absolutely incredible look film incredibly well develop something fresh original marvel studio cast joy watch especially simu liu aquafina lead support role skeptical aquafina marvel movie sure really help film whole honestly would love see character future marvel project film entertain despite pace film bite place time brilliant elaborate special effect gawk screen plenty surprise bind make smile end shangchi fun time marvel movie something comicbook flick forget recently im excite character offer future film rat,Positive
40,,Neutral
41,,Neutral
42,shangchi legend ten ring incredible mcu origin story thats epic emotional extremely thrill whilst also connect greater universe fun satisfy way definitely best thing phase far even third act usual mcu problem simu liu give incredible extremely charismatic lead performance whilst also superb chemistry awkwafina also incredible michelle yeoh menger zhang great tony leung amaze one better villain mcu plenty backstory depth destin daniel crettons direction excellent extremely well film stylish best action sequence franchise fight choreography extremely impressive cg mostly strong well pace soundtrack music joel p west fantastic,Positive
43,movie pretty good way akwafinas character annoy sorry didnt like,Positive
44,like great pace shang chi lot thing build tale try make origin story fit far movie series information might worry pace surprisingly do super well never really drag move blind pace mostly shang chi combination tale keep thing move fly important element connect character cast get ample time give u backstories piece together cluse dynamic drama puzzle sacrifice action come character development trailer may think modern martial art film sense would right however movie take one step go beyond punch instead give character soul layer compare legendary film past shang life complicate tear light dark sister well experience drama manner parallel main protagonist even antagonist layer far beyond normally get marvel group love well line mix together make melodramatic family story fit naturally marvel universe surprise cameo cant say much without spoil like disappoint show film several question answer character return many laugh manner familiar marvel fan inclusion character also hold important albeit stretch plot element give little mean behind love choice make include big picture cultural influence like black panther african culture shang chi integrate much cultural value asian province movie costume stun take traditional attire bring past light also sew modern style jazz outfit concept family honor custom practice marshal art honor family wellintegrated story help give predictable tale extra kung fu kick architecture set breathe new life typical cityscape make famous marvel legend ten ring scream asian mythology seep int heir history love well thing merge marvel tale though little predictable flaunt really elevate origin story stand many others cgi finally disney invest make movie show studio chi bunch plenty amaze thing overuse computer effect modern era love special effect action scene realism black widow execute creature see lot polish fluidity movement special effect involve ten ring fluid hold depth felt miss recent marvel project act great part play member film extra include shang chi cast show act dead character utilize well simu liu lead fantastic campaign movie could end better result hold much prodigal martial artist discipline focus avid fighter capable crush enemy style however also trouble layer past watch help spread emotional spectrum awkwafina still cooky role always play time get little balance heroism compare character herald past love well use film great complement simu role leung bring lot pizazz character give u antagonist much scowl fist felt perfect cast play opponent shang chi many great actor actress film due time restriction move trust well performance comedy awkwafina often use much make u laugh disney struggle force lot comedy make kid friendly however shang chi take step back discipline use comedy well break ice dialogue go long way break laugh welltimed joke gag solid punch gut comedy several ridiculous inclusion film first seem place roll back extravagant joke great set throw reference come get shin beacon awesomeness come movie do well happy result action bread butter marvel movie shang chi deliver well film action exposÃ© art choreograph battle bring another homage asian culture fantastic fight bite impressive skill use half marvel cinema excite dynamic fight different feel might expect use well story purpose behind inclusion battle one different mean stake behind simply punch kick even strategy behind require win accomplish level storytelling lose modern era well do bite adult movie definitely show marvel modernization 21st century take risk make film darker adult installment curse definitely increase one plenty swear word fill dialogue point overdo f bomb language get little bite caution addition tone tale darker sunshine rainbow thor captain america guardian leave dust grittier tale plus political moment nowhere bad movie today shang chi sometimes get bite preachy agenda politics film take time rub face obvious line state look bite showboating could do without yet even dislike marginal give little occur nice moment build sometimes fun lesson joke build little action action movie great love much flow accomplish expect film thing expect yet time moment fight felt little force namely chase scene vehicle seem like afterthought however fight end need time perhaps little bounce battle occur time star war do successfully past show manner battle give big scope battle shang chi do better several marvel film still room give u look character kick butt battle lengthy enough ill agree little show warrior would round fight perfection verdict shang chi finally make feel like back realm marvel fell love year ago cultural build world origin story continuation hero quest make fun excite swift adventure expect bury beneath amaze fight special effect deeper movie expect use character well integrate serve purpose balance comedy cultural inclusion politics steal away main theme movie give adult touch plus book though caution little one watch limitation agree predictability familiarity movie fresh twist balance help rejuvenate formula add minimize impact limitation though say little better wider scope battle still need overall score film actionadventurefantasy movie overall,Positive
45,shangchi legend ten ring mystical beautiful movie history music special effect act take another world film leave want morris storyline follow young man name shangchi simu liu father one thousandyearold man conqueror nickname mandarin tony leung chiuwai ever use infamous allpowerful ten ring evil mandarin set unleash infinite evil universe shangchi stop father movie cinematic experience fight choreography world long slow motion shot make audience feel video game simu steal show every fight scene flawless fluid movement prove hard work character film every audience fall love shangchi he funny perfect comedic time know balance peace violence encapsulate majority young adult feel like able find place world movie make fan feel theyve know shang year wonderful flashback give audience glimpse past pain fear shape film give wonderful allaround scope character feel like friend weve know life make fan excite see shangchi shang sister xu xialing iconic duo theyre powerful there tension due past put everything aside let love shine xialing role model officially join marvel cinematic universe powerful woman shangchi legend ten ring perfect aapi asian american pacific islander representation cinema represent chinese culture powerfully show like asianamerican modern day usa mention simu marvel studio first asianamerican superhero simu shangchi write history also inspire child fan around world film deliver ground cameo shock leave edge seat try shout two post credit scene prove challenge end movie want sing song hotel california top lung film remind search let past guide want ever since mother die shang train father use violence arrive mother village learn find peace within world around learn trust use ring good give shangchi legend ten ring star recommend age plus adult available theater september heather kid first,Positive
46,honestly level movie excel cast perfect world build creative beautiful faithful asian root cgi location shoot breathtaking fight best ive ever see even train grind sequence exquisite grace action balance heart concern awkwafina would take humour campy low truly show serious dramatic chop comic relief give honour shakespearean stage giant ben kingsley homegrown ðŸ‡¨ðŸ‡¦ simu liu perfect part performance world class could go rave ill conclude feedback say every way powerful mcu solo representation asian culture black panther african culture gather feedback leave theatre get rat felt need mcu content saw many thing comment ive read criticism storytelling choppy didnt find like chapter book completely work together create world content design upon leave cinema go give movie superb reflect dont know could do make better give film perfect superhero action adventure,Positive
47,shangchi legend ten ring well pleasant surprise much style black panther origin story really great start finish saw 3d 4dx o2 throw blow rain every sensation every turn fabulus great act great humour plenty magic marvel fan lacklustre black widow disaster winter soldier two goodens row snake eye fight scene well work open bus sequence memorable dont thing anything didnt like movie im give outta,Positive
48,shang chi marvel latest blockbuster grace movie 2020s nonexistent marvel slate bloody time get something world deal sarsvariant get double shot late finally go back movie en masse though road recovery far shang chi partoriginstory character weve never know partcgspectacle interlace nice kungfu choreography inuniverse expansion marvel cinematic ambition make wonder deeply think pay reverence everything bruce lee matrix dragon ball last airbender kung fu panda marvel best escape confine iron man legacy seem like earnest start something farremoved like spiderman also make wonder awkwafina gonna become major player outside shang chi movie alone shang chi stuff youve come expect marvel studio go big wont stop every subsequent film onward though bigger better seem better fit highconcept space opera like infinity war endgame earthbound characterdriven story shang chi good fun really succeed runtime,Positive
49,ever watch one movie cinema entire span day make phenomenal sight sound super spectacular sensory sensation smash everything park,Positive
50,think feel marvel fatigue wandavision start strong end bite whimper black widow wasnt terrible two month later cant remember anything except florence pugh cool one rejuvenate enthusiasm unstoppably huge mcu there satisfy origin story small appearance familiar character add spice host new character quite compel right gate action great there also much like lot action felt relatively ground mcu standard neat stunt work excite camerawork make action pop final battle get really cgi heavy humour also consistent marvel film joke land also cool fantasy element creature pretty inventive wellexecuted say one notable flaw there lot exposition film second half get around little great actor like tony leung michelle yeoh explain lot explain whole new side mcu super noticeable,Positive
51,mcu fanatic ive try get excite movie release postendgame challenge particular film perfect finale series struggle effort get storyline go doesnt help scatter topic lack single core group bring together shangchi another random hero know vaguely reference comic never read book back collector appreciate film bring new style mcu movie blend wuxia superhero story fun choice also quite great actor film include tony leung ben kingsley michelle yeoh id even include awkwafina category certainly see people might struggle awkwafinas schtick find comedic time great laugh along whole time however one major name leave great actor simu liu sadly find little bland okay comedy certainly dont see stack legend come mcu heck benedict wong minute screentime film still make greater impression simu liu dig story shangchi legend ten ring id say fine origin story even highly predictable kind movie stay step ahead unfortunate think thats biggest problem entire film fun engage also feel like rough carbon copy thing come movie emulate number wuxia film past good movie follow trope superhero origin story isnt level best genre cant fault ambition execution lack negativity say shangchi legend ten ring bad film fact enjoy entire time theater genuinely invest story think handle link mcu well without feel like shameless pander fan devolve obscure reference people like would understand film gorgeous visuals create world way manage unique still consistent style mcu movie personal stake film despite fact end fell giant cgi battle felt unnecessary cant say shangchi rise upper echelon mcu rank better come,Positive
52,great fun king fu fantasy movie bite marvel pizzazz one liner throw really great fight sequence bus scaffold fight terrific really cool fantasy beast setting really enjoy diversity play black panther great addition ever grow marvel universe,Positive
53,wow spectacular view mcu sean shangchi live san francisco park car live best friend katy meet he happy life enjoy karaoke one day bad scary look guy attack sean katy bus demand green pendant sean wear around neck oh yeah seans real name shangchi father leader ten ring terrorist organization visuals incredible awkwafina hilarious say anything else ill give something away go watch,Positive
54,character bite incoherent straight contradict characterization time plot need bunch unneeded deuxex machina convenience writer trap corner reason thats happen get mortal kombat ww84 expendables writer also awkwafina destroy every type scene dramatic epic also comedic one one worst act ive ever see type joke awkward nonsense start finish role ridiculously large dumb comic relief liu actually pretty good lead character potentially great shangchi world beautiful everything super fun watch futurewithout awkwafine better writer,Positive
55,shangchi legend ten ring tell story shaunshangchisimu liu shangchi expert kung fu force deal past he pursue ten ring organization shangchi legend ten ring mindblowing film marvel cinematic universe strike gold yet wrong director destin daniel cretton give u one marvel cinematic universe best origin story action set piece highlight movie awesome finally see kung fu fight style utilize marvel cinematic universe visual effect aweinspiring simu liu spectacular shaunshangchi liu easily balance action dramatic scene marvel cinematic universe trademark humor cant wait see future awkwafina hysterical katy tony chiuwai leung outstanding xu wenwu menger zhang fantastic xialing fala chen brilliant li michelle yeoh excellent ying nan florian munteanu superb razor fist support cast amaze shangchi legend ten ring must watch marvel cinematic universe fan superhero film buff watch biggest screen possible preferably imax cant wait eternals2021,Positive
